,word,a_mean,v_mean,freq1,pos1,freq2,pos2,letter_count
4,abbey,2.2,5.85,1110.0,n,20,NoC,5
11,ability,4.85,7.0,10468.0,n,105,NoC,7
22,abortion,5.43,2.58,1471.0,n,15,NoC,8
28,absence,4.3,3.86,5949.0,n,59,NoC,7
42,abuse,6.21,1.53,1364.0,v,37,NoC,5
47,academy,3.77,5.32,1025.0,n,15,NoC,7
53,accent,4.95,6.48,1842.0,n,19,NoC,6
56,acceptance,4.3,6.84,2702.0,n,27,NoC,10
57,access,5.3,6.68,1389.0,v,100,NoC,6
60,accident,4.93,2.55,8374.0,n,84,NoC,8
64,accommodation,4.72,6.76,4305.0,n,44,NoC,13
71,account,3.76,5.39,6130.0,v,200,NoC,7
72,accountability,3.7,4.89,1184.0,n,12,NoC,14
74,accountant,3.81,5.19,2199.0,n,22,NoC,10
75,accounting,3.68,4.42,1640.0,a,25,NoC,10
77,accuracy,3.33,6.32,1692.0,n,17,NoC,8
80,accusation,5.48,3.38,1153.0,n,12,NoC,10
86,achievement,5.57,7.28,4586.0,n,46,NoC,11
88,acid,4.77,3.26,5897.0,n,59,NoC,4
97,acquisition,4.36,5.0,3245.0,n,33,NoC,11
100,acre,2.73,5.53,2150.0,n,22,NoC,4
104,act,4.19,5.64,15620.0,v,248,NoC,3
105,action,6.19,6.0,26894.0,n,269,NoC,6
110,activist,5.26,6.24,1285.0,n,13,NoC,8
111,activity,4.86,6.21,23105.0,n,231,NoC,8
112,actor,4.35,6.15,3540.0,n,36,NoC,5
113,actress,5.43,5.42,1051.0,n,13,NoC,7
122,adaptation,3.55,5.82,1132.0,n,11,NoC,10
130,address,3.05,6.11,5872.0,v,60,NoC,7
137,adjective,3.64,5.95,1012.0,n,10,NoC,9
142,adjustment,4.59,5.53,2114.0,n,21,NoC,10
145,administration,3.23,4.45,6865.0,n,69,NoC,14
147,administrator,4.74,5.32,1483.0,n,15,NoC,13
156,admission,3.69,5.91,2742.0,n,29,NoC,9
164,adoption,4.82,6.68,1544.0,n,16,NoC,8
173,adult,4.36,5.9,6855.0,n,79,NoC,5
177,advance,4.62,6.11,3032.0,v,48,NoC,7
180,advantage,3.95,6.71,10285.0,n,103,NoC,9
182,adventure,6.36,7.4,1993.0,n,20,NoC,9
189,advertisement,4.14,4.3,2136.0,n,22,NoC,13
190,advertising,3.25,4.68,3582.0,n,41,NoC,11
191,advice,3.05,5.78,10437.0,n,104,NoC,6
195,adviser,3.36,5.68,3191.0,n,33,NoC,7
204,affair,5.4,3.1,10561.0,n,106,NoC,6
206,affection,5.64,7.89,1601.0,n,16,NoC,9
224,afternoon,3.48,6.68,8934.0,n,89,NoC,9
226,age,3.71,5.78,1565.0,v,252,NoC,3
227,agency,3.17,5.14,9579.0,n,96,NoC,6
228,agenda,3.62,5.05,2427.0,n,25,NoC,6
229,agent,3.43,5.23,8100.0,n,81,NoC,5
232,aggression,5.69,3.18,1243.0,n,13,NoC,10
243,agony,5.78,2.46,1017.0,n,10,NoC,5
246,agreement,4.05,6.75,15627.0,n,160,NoC,9
248,agriculture,3.05,6.1,3858.0,n,39,NoC,11
250,aid,4.55,6.29,2086.0,v,91,NoC,3
256,aim,4.0,5.95,7638.0,v,75,NoC,3
257,air,3.25,6.71,19046.0,n,191,NoC,3
260,aircraft,4.86,6.3,6200.0,n,62,NoC,8
264,airline,4.12,5.36,1982.0,n,20,NoC,7
268,airport,5.5,6.0,2756.0,n,33,NoC,7
279,alarm,6.85,3.86,1222.0,v,25,NoC,5
284,album,5.63,6.19,2581.0,n,26,NoC,5
285,alcohol,5.17,4.11,3066.0,n,31,NoC,7
305,allegation,5.9,3.26,2124.0,n,21,NoC,10
314,alliance,4.4,6.14,3518.0,n,37,NoC,8
318,allowance,4.05,6.74,3411.0,n,34,NoC,9
322,ally,4.8,6.05,2381.0,n,24,NoC,4
336,alteration,4.05,5.05,1527.0,n,15,NoC,10
340,alternative,3.61,5.33,5228.0,n,53,NoC,11
352,ambassador,3.91,5.5,1264.0,n,14,NoC,10
357,ambition,4.86,7.28,2319.0,n,23,NoC,8
360,ambulance,5.33,3.71,1690.0,n,18,NoC,9
363,amendment,3.5,5.6,2574.0,n,28,NoC,9
374,amount,3.53,5.42,3633.0,v,171,NoC,6
386,amusement,4.82,7.0,1027.0,n,11,NoC,9
391,analogy,3.95,5.24,1098.0,n,11,NoC,7
392,analysis,3.74,5.25,14149.0,n,143,NoC,8
393,analyst,3.24,5.0,1586.0,n,19,NoC,7
401,ancestor,3.73,6.37,1249.0,n,13,NoC,8
415,angel,4.24,7.71,1897.0,n,22,NoC,5
417,anger,5.93,2.5,892.0,v,34,NoC,5
420,angle,3.22,4.55,3644.0,n,37,NoC,5
426,animal,4.3,7.06,15250.0,n,153,NoC,6
430,ankle,3.11,5.4,1363.0,n,15,NoC,5
436,anniversary,4.0,6.95,2144.0,n,21,NoC,11
438,announcement,4.3,5.81,2758.0,n,28,NoC,12
452,answer,4.0,6.1,10140.0,v,124,NoC,6
453,ant,3.27,3.9,998.0,n,10,NoC,3
